City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Puerto Leguizamo,CO,2021-04-19 00:42:30,-0.1934,-74.7819,73.65,96,100,1.68
253,Macomer,IT,2021-04-19 00:42:30,40.262,8.7699,42.8,93,0,1.14
254,Minab,IR,2021-04-19 00:42:30,27.1467,57.0801,68.0,73,76,4.61
255,Kahului,US,2021-04-19 00:42:30,20.8947,-156.47,80.6,69,40,18.41
256,Xuddur,SO,2021-04-19 00:42:31,4.1213,43.8894,74.88,78,7,8.99
257,Namatanai,PG,2021-04-19 00:42:31,-3.6667,152.4333,86.9,64,95,4.27
258,Buribay,RU,2021-04-19 00:42:31,51.9617,58.1592,33.06,61,100,21.09
259,Lonar,IN,2021-04-19 00:42:31,19.9833,76.5333,83.16,23,75,8.46
260,Monte Patria,CL,2021-04-19 00:42:32,-30.6919,-70.9467,69.03,51,0,2.46
261,Sola,VU,2021-04-19 00:42:32,-13.8833,167.55,87.8,79,40,4.61
262,Civitanova Marche,IT,2021-04-19 00:42:32,43.307,13.7206,48.0,72,97,1.99
263,Oksfjord,NO,2021-04-19 00:42:32,70.2396,22.3479,35.6,60,92,4.61
264,Santa Maria,BR,2021-04-19 00:42:33,-29.6842,-53.8069,69.8,73,40,10.36
265,Cidreira,BR,2021-04-19 00:41:00,-30.1811,-50.2056,70.39,72,2,10.76
266,Oktyabrskoye,RU,2021-04-19 00:42:33,43.0645,44.7417,50.0,87,100,4.47
267,Fairbanks,US,2021-04-19 00:40:21,64.8378,-147.7164,62.6,30,1,2.55
268,Yellowknife,CA,2021-04-19 00:37:49,62.456,-114.3525,41.0,48,20,10.36
269,Moindou,NC,2021-04-19 00:42:34,-21.6924,165.677,84.2,65,0,6.91
270,Trat,TH,2021-04-19 00:42:34,12.5,102.5,81.0,99,66,2.59
271,Abu Dhabi,AE,2021-04-19 00:38:14,24.4667,54.3667,75.2,64,0,2.3
272,Port Macquarie,AU,2021-04-19 00:42:34,-31.4333,152.9167,71.01,61,0,1.99
273,Leningradskiy,RU,2021-04-19 00:42:34,69.3833,178.4167,32.27,65,0,9.82
274,Astana,KZ,2021-04-19 00:42:35,51.1801,71.446,21.2,79,90,22.37
275,Chippewa Falls,US,2021-04-19 00:42:35,44.9369,-91.3929,59.0,29,75,9.22
276,Vardo,NO,2021-04-19 00:42:35,70.3705,31.1107,35.89,84,94,17.54
277,Povolzhskiy,RU,2021-04-19 00:42:36,53.5854,49.7629,41.0,56,0,8.95
278,Pandan,PH,2021-04-19 00:42:36,14.0453,124.1694,78.28,94,100,33.46
279,Laguna,US,2021-04-19 00:38:44,38.421,-121.4238,91.0,6,1,4.61
280,Fare,PF,2021-04-19 00:42:36,-16.7,-151.0167,82.42,71,0,11.27
281,Energetik,RU,2021-04-19 00:42:37,51.7445,58.7934,33.71,63,100,20.36
282,Saint-Philippe,RE,2021-04-19 00:42:37,-21.3585,55.7679,77.0,83,90,11.5
283,Malatya,TR,2021-04-19 00:42:37,38.5,38.0,53.6,82,75,6.91
284,Pudozh,RU,2021-04-19 00:42:37,61.8099,36.5345,29.32,83,5,4.7
285,Bani,DO,2021-04-19 00:42:38,18.2833,-70.3333,80.01,80,2,1.99
286,Zhangjiakou,CN,2021-04-19 00:42:38,40.81,114.8794,60.78,16,15,1.57
287,Saldanha,ZA,2021-04-19 00:42:38,-33.0117,17.9442,64.4,82,44,6.91
288,Penzance,GB,2021-04-19 00:42:39,50.1186,-5.5371,46.0,81,75,6.91
289,Radeberg,DE,2021-04-19 00:42:39,51.1167,13.9167,41.0,100,100,1.14
290,Anadyr,RU,2021-04-19 00:41:44,64.75,177.4833,24.8,68,0,6.71
291,Birao,CF,2021-04-19 00:42:39,10.2849,22.7882,78.31,14,100,4.92
292,Duncan,US,2021-04-19 00:42:39,34.5023,-97.9578,62.6,29,1,3.44
293,Kasongo-Lunda,CD,2021-04-19 00:42:40,-6.4667,16.8167,70.86,97,100,1.32
294,Iqaluit,CA,2021-04-19 00:42:40,63.7506,-68.5145,17.6,73,75,4.61
