City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Opelousas,US,30.5335,-92.0815,57.0,47,1,5.75,clear sky
252,Chimay,BE,50.0486,4.3171,39.2,81,75,10.36,broken clouds
253,Emerald,AU,-23.5333,148.1667,78.8,65,100,3.44,overcast clouds
254,Maniitsoq,GL,65.4167,-52.9,26.28,70,2,6.26,clear sky
255,Mosquera,CO,4.7059,-74.2302,53.6,87,40,2.3,scattered clouds
256,Timmins,CA,48.4669,-81.3331,26.6,80,75,2.55,broken clouds
257,Erzin,TR,36.9559,36.2,59.0,86,0,2.95,clear sky
258,Meulaboh,ID,4.1363,96.1285,78.37,86,100,3.36,overcast clouds
259,Bethel,US,41.3712,-73.414,41.0,52,90,11.5,overcast clouds
260,Zelenoborskiy,RU,66.845,32.3622,31.98,96,100,3.33,light snow
261,Port-Gentil,GA,-0.7193,8.7815,82.15,82,100,10.07,overcast clouds
262,Vung Tau,VN,10.346,107.0843,82.81,74,100,5.19,moderate rain
263,Marzuq,YE,14.4,46.4667,68.54,30,1,4.85,clear sky
264,Lodja,CD,-3.4833,23.4333,65.93,99,84,1.72,broken clouds
265,Roshchino,RU,60.2519,29.6085,36.0,69,100,4.59,light snow
266,Port Hedland,AU,-20.3167,118.5667,87.8,13,6,19.57,clear sky
267,Ancud,CL,-41.8697,-73.8203,48.0,100,20,4.41,mist
268,Butembo,CD,0.15,29.2833,57.11,97,99,2.89,overcast clouds
269,Darlowo,PL,54.421,16.4107,42.01,74,14,22.39,few clouds
270,Manggar,ID,-2.8833,108.2667,85.46,59,63,10.87,broken clouds
271,Pierre,US,44.3683,-100.351,48.2,31,1,3.44,clear sky
272,Valdivia,CL,-39.8142,-73.2459,48.2,93,100,5.75,overcast clouds
273,Lasa,IT,46.6166,10.7002,39.99,87,40,2.3,scattered clouds
274,San Felipe,VE,10.3399,-68.7425,70.9,90,17,5.61,few clouds
275,Uvarovo,RU,51.9849,42.2615,40.91,90,12,7.74,few clouds
276,Kodiak,US,57.79,-152.4072,42.8,87,90,17.27,moderate rain
277,Chuy,UY,-33.6971,-53.4616,66.16,76,0,13.22,clear sky
278,Nantucket,US,41.2835,-70.0995,51.8,87,90,11.5,mist
279,Vila Do Maio,CV,15.1333,-23.2167,70.99,79,100,16.87,overcast clouds
280,Tevriz,RU,57.509,72.4042,27.54,74,11,4.14,few clouds
281,Cidreira,BR,-30.1811,-50.2056,70.74,61,99,17.02,overcast clouds
282,Curuguaty,PY,-24.4694,-55.6945,66.31,61,0,4.43,clear sky
283,Peleduy,RU,59.6289,112.7406,23.22,88,97,3.04,overcast clouds
284,San Jose,US,37.3394,-121.895,66.0,55,1,12.66,clear sky
285,Auki,SB,-8.7676,160.7034,85.01,70,96,2.89,overcast clouds
286,Puerto Colombia,CO,10.9878,-74.9547,80.6,78,0,5.75,clear sky
287,Camaqua,BR,-30.8511,-51.8122,68.5,69,75,11.1,broken clouds
